Avg_players,Game_Name
512350.92,Counter Strike: Global Offensive
512081.96,Counter Strike: Global Offensive
506067.36,Counter Strike: Global Offensive
549347.08,Counter Strike: Global Offensive
659888.89,Counter Strike: Global Offensive
723346.52,Counter Strike: Global Offensive
740927.82,Counter Strike: Global Offensive
741013.24,Counter Strike: Global Offensive
743209.66,Counter Strike: Global Offensive
717803.75,Counter Strike: Global Offensive
668754.58,Counter Strike: Global Offensive
613666.69,Counter Strike: Global Offensive
606850.32,Counter Strike: Global Offensive
639957.66,Counter Strike: Global Offensive
625900.81,Counter Strike: Global Offensive
671647.46,Counter Strike: Global Offensive
768795.25,Counter Strike: Global Offensive
857604.22,Counter Strike: Global Offensive
671033.29,Counter Strike: Global Offensive
543979.15,Counter Strike: Global Offensive
501196.0,Counter Strike: Global Offensive
456701.56,Counter Strike: Global Offensive
426080.81,Counter Strike: Global Offensive
408995.31,Counter Strike: Global Offensive
410925.6,Counter Strike: Global Offensive
415097.3,Counter Strike: Global Offensive
393782.83,Counter Strike: Global Offensive
389376.72,Counter Strike: Global Offensive
364417.31,Counter Strike: Global Offensive
351989.92,Counter Strike: Global Offensive
390240.16,Counter Strike: Global Offensive
371358.96,Counter Strike: Global Offensive
401366.87,Counter Strike: Global Offensive
395509.26,Counter Strike: Global Offensive
310085.43,Counter Strike: Global Offensive
325907.82,Counter Strike: Global Offensive
333163.99,Counter Strike: Global Offensive
283531.31,Counter Strike: Global Offensive
273307.26,Counter Strike: Global Offensive
266862.24,Counter Strike: Global Offensive
262170.88,Counter Strike: Global Offensive
289076.7,Counter Strike: Global Offensive
354270.33,Counter Strike: Global Offensive
382457.1,Counter Strike: Global Offensive
382030.53,Counter Strike: Global Offensive
340876.88,Counter Strike: Global Offensive
321131.4,Counter Strike: Global Offensive
341861.26,Counter Strike: Global Offensive
354402.09,Counter Strike: Global Offensive
374425.69,Counter Strike: Global Offensive
377589.04,Counter Strike: Global Offensive
374388.04,Counter Strike: Global Offensive
371829.34,Counter Strike: Global Offensive
392199.19,Counter Strike: Global Offensive
386908.72,Counter Strike: Global Offensive
402385.71,Counter Strike: Global Offensive
393109.53,Counter Strike: Global Offensive
342195.7,Counter Strike: Global Offensive
329045.26,Counter Strike: Global Offensive
333076.46,Counter Strike: Global Offensive
322525.89,Counter Strike: Global Offensive
347229.25,Counter Strike: Global Offensive
353777.56,Counter Strike: Global Offensive
334311.06,Counter Strike: Global Offensive
338738.39,Counter Strike: Global Offensive
375795.87,Counter Strike: Global Offensive
379426.95,Counter Strike: Global Offensive
376285.02,Counter Strike: Global Offensive
365371.09,Counter Strike: Global Offensive
377447.11,Counter Strike: Global Offensive
360925.88,Counter Strike: Global Offensive
362766.09,Counter Strike: Global Offensive
355905.33,Counter Strike: Global Offensive
357535.24,Counter Strike: Global Offensive
329532.38,Counter Strike: Global Offensive
344156.01,Counter Strike: Global Offensive
317286.29,Counter Strike: Global Offensive
291748.74,Counter Strike: Global Offensive
